"archive_date","adult_child","hospital_name","wait_0_6_months","wait_6_12_months","wait_12_18_months","wait_18_plus_months","total"
"2024-03-28","Adult","Portiuncula University Hospital",2061,319,129,80,2589
"2024-03-28","Adult","Our Lady's Hospital Navan",3544,2060,593,163,6360
"2024-03-28","Adult","Our Lady of Lourdes Hospital Drogheda",8360,3280,279,82,12002
"2024-03-28","Adult","Nenagh Hospital",322,276,210,38,846
"2024-03-28","Adult","National Orthopaedic Hospital Cappagh",2843,1824,607,186,5459
"2024-03-28","Adult","National Maternity Hospital (Holles Street)",2570,609,60,0,3239
"2024-03-28","Adult","Naas General Hospital",6159,2940,754,163,10015
"2024-03-28","Adult","Midland Regional Hospital Tullamore",8179,2045,245,2,10471
"2024-03-28","Adult","Midland Regional Hospital Portlaoise",2245,1099,481,450,4275
"2024-03-28","Adult","Midland Regional Hospital Mullingar",4555,1861,1061,1171,8647
"2024-03-28","Adult","Mercy University Hospital",3040,1380,522,878,5820
"2024-03-28","Adult","Mayo University Hospital",3799,1215,460,375,5849
"2024-03-28","Adult","Mater Misericordiae University Hospital",22254,7568,3161,5127,38110
"2024-03-28","Adult","Mallow General Hospital",2320,831,306,42,3499
"2024-03-28","Adult","Louth County Hospital",1536,389,0,0,1925
"2024-03-28","Adult","Letterkenny University Hospital",7881,2292,1044,1728,12946
"2024-03-28","Adult","Galway University Hospitals",22165,8098,4095,7264,41623
"2024-03-28","Adult","Ennis Hospital",459,356,248,39,1102
"2024-03-28","Adult","Croom Orthopaedic Hospital",3016,1427,356,82,4881
"2024-03-28","Adult","Cork University Maternity Hospital",2164,30,4,0,2198
"2024-03-28","Adult","Cork University Hospital",15220,7328,3425,4999,30972
"2024-03-28","Adult","Coombe Women and Infants University Hospital",1507,897,226,28,2658
"2024-03-28","Adult","Connolly Hospital Blanchardstown",4882,347,0,0,5229
"2024-03-28","Adult","Cavan General Hospital",5182,2338,141,65,7726
"2024-03-28","Adult","Beaumont Hospital",25832,11164,1602,180,38779
"2024-03-28","Adult","Bantry General Hospital",714,198,67,43,1022
"2024-03-28","Child","Wexford General Hospital",628,312,86,1,1027
"2024-03-28","Child","University Hospital Waterford",2099,1062,347,306,3814
"2024-03-28","Child","University Hospital Limerick",2715,906,258,138,4017
"2024-03-28","Child","University Hospital Kerry",742,229,55,7,1033
"2024-03-28","Child","Tipperary University Hospital",285,52,2,0,339
"2024-04-25","Child","Our Lady of Lourdes Hospital Drogheda",2178,1184,222,28,3613
"2024-04-25","Child","Tallaght University Hospital",20,6,0,0,26
"2024-04-25","Child","St. Luke's General Hospital Kilkenny",457,27,7,2,493
"2024-04-25","Child","St. John's Hospital Limerick",4,0,0,0,4
"2024-04-25","Child","South Infirmary Victoria University Hospital",1568,784,315,284,2951
"2024-04-25","Child","Sligo University Hospital",1270,148,36,79,1533
"2024-04-25","Child","Royal Victoria Eye and Ear Hospital",299,202,114,70,685
"2024-04-25","Child","Rotunda Hospital",22,0,0,0,22
"2024-04-25","Child","Portiuncula University Hospital",393,36,20,0,449
"2024-04-25","Child","Our Lady's Hospital Navan",2,2,0,0,3
"2024-04-25","Child","Nenagh Hospital",9,2,2,0,13
"2024-04-25","Child","National Orthopaedic Hospital Cappagh",91,50,43,25,209
"2024-04-25","Child","National Maternity Hospital (Holles Street)",54,17,0,0,71
"2024-04-25","Child","Naas General Hospital",2,0,0,0,2
"2024-04-25","Child","Midland Regional Hospital Tullamore",1053,276,37,0,1366
"2024-04-25","Child","Midland Regional Hospital Portlaoise",693,334,191,54,1272
"2024-04-25","Child","Midland Regional Hospital Mullingar",936,349,135,76,1496
"2024-04-25","Child","Mercy University Hospital",173,73,4,0,249
"2024-04-25","Child","Mayo University Hospital",595,111,25,29,761
"2024-04-25","Child","Mallow General Hospital",238,152,130,20,540
"2024-04-25","Child","Letterkenny University Hospital",1108,354,274,188,1924
"2024-04-25","Child","Galway University Hospitals",3091,1151,503,899,5644
"2024-04-25","Child","Ennis Hospital",27,9,2,2,40
"2024-04-25","Child","Croom Orthopaedic Hospital",177,24,4,2,207
"2024-04-25","Child","Cork University Maternity Hospital",53,2,0,0,55
"2024-04-25","Child","Cork University Hospital",3420,1620,565,356,5960
"2024-04-25","Child","Coombe Women and Infants University Hospital",30,14,6,0,50
"2024-04-25","Child","Children's Health Ireland",19092,11016,6122,4957,41187
"2024-04-25","Child","Cavan General Hospital",856,323,4,4,1188
"2024-04-25","Child","Beaumont Hospital",55,5,3,0,64
"2024-04-25","Adult","Wexford General Hospital",2803,760,100,60,3723
"2024-04-25","Adult","University Hospital Waterford",17920,9743,4176,4892,36732
"2024-04-25","Adult","University Hospital Limerick",14400,4304,1226,864,20794
"2024-04-25","Adult","University Hospital Kerry",5793,2334,739,171,9038
"2024-04-25","Adult","Tipperary University Hospital",2103,927,233,35,3297
"2024-04-25","Adult","Tallaght University Hospital",14206,8691,4322,3525,30744
"2024-04-25","Adult","St. Vincent's University Hospital",19505,7469,2565,824,30362
"2024-04-25","Adult","St. Michael's Hospital",2601,946,321,298,4165
"2024-04-25","Adult","St. Luke's General Hospital Kilkenny",3740,1410,522,189,5860
"2024-04-25","Adult","St. John's Hospital Limerick",427,260,40,0,727
"2024-04-25","Adult","St. James's Hospital",17157,5194,1417,1185,24954
"2024-04-25","Adult","St. Columcille's Hospital",2233,1604,1183,4127,9148
"2024-04-25","Adult","South Infirmary Victoria University Hospital",11475,6683,2936,4052,25146
"2024-04-25","Adult","Sligo University Hospital",7413,2362,884,1461,12119
"2024-04-25","Adult","Royal Victoria Eye and Ear Hospital",5618,2889,1730,1640,11877
"2024-04-25","Adult","Rotunda Hospital",3734,821,0,2,4557
"2024-04-25","Adult","Roscommon University Hospital",2493,724,157,148,3521
"2024-04-25","Adult","Portiuncula University Hospital",2090,331,139,83,2643
"2024-04-25","Adult","Our Lady's Hospital Navan",3499,1950,617,132,6198
"2024-04-25","Adult","Our Lady of Lourdes Hospital Drogheda",8224,3275,341,60,11901
"2024-04-25","Adult","Nenagh Hospital",377,279,216,54,926
"2024-04-25","Adult","National Orthopaedic Hospital Cappagh",2719,1951,575,226,5471
"2024-04-25","Adult","National Maternity Hospital (Holles Street)",2603,615,95,0,3313
"2024-04-25","Adult","Naas General Hospital",6109,2897,938,166,10109
"2024-04-25","Adult","Midland Regional Hospital Tullamore",8387,2058,260,0,10704
"2024-04-25","Adult","Midland Regional Hospital Portlaoise",2201,1036,350,425,4012
"2024-04-25","Adult","Midland Regional Hospital Mullingar",4779,1960,1099,1140,8978
"2024-04-25","Adult","Mercy University Hospital",2905,1396,520,862,5683
"2024-04-25","Adult","Mayo University Hospital",3978,1127,399,310,5814
"2024-04-25","Adult","Mater Misericordiae University Hospital",22298,7455,3198,4961,37912
"2024-04-25","Adult","Mallow General Hospital",2381,847,341,54,3622
"2024-04-25","Adult","Louth County Hospital",1449,393,3,0,1845
"2024-04-25","Adult","Letterkenny University Hospital",8106,2351,981,1809,13247
"2024-04-25","Adult","Galway University Hospitals",21844,8313,4312,7162,41632
"2024-04-25","Adult","Ennis Hospital",485,353,257,44,1138
"2024-04-25","Adult","Croom Orthopaedic Hospital",3130,1357,438,78,5003
"2024-04-25","Adult","Cork University Maternity Hospital",2253,56,3,0,2311
"2024-04-25","Adult","Cork University Hospital",15469,7225,3513,4999,31206
"2024-04-25","Adult","Coombe Women and Infants University Hospital",1477,766,162,21,2426
"2024-04-25","Adult","Connolly Hospital Blanchardstown",4838,244,19,0,5101
"2024-04-25","Adult","Cavan General Hospital",5009,2700,152,66,7927
"2024-04-25","Adult","Beaumont Hospital",25889,12216,1867,212,40185
"2024-04-25","Adult","Bantry General Hospital",697,103,16,2,818
"2024-04-25","Child","University Hospital Kerry",714,268,53,12,1048
"2024-04-25","Child","University Hospital Limerick",2805,788,248,134,3975
"2024-04-25","Child","University Hospital Waterford",2127,1068,373,290,3857
"2024-04-25","Child","Wexford General Hospital",675,284,96,0,1055
"2024-04-25","Child","Tipperary University Hospital",268,54,2,0,324
"2024-05-30","Child","Tallaght University Hospital",11,6,2,0,19
"2024-05-30","Child","South Infirmary Victoria University Hospital",1596,738,372,288,2993
"2024-05-30","Child","Sligo University Hospital",1361,140,37,73,1611
"2024-05-30","Child","Royal Victoria Eye and Ear Hospital",306,166,131,68,671
"2024-05-30","Child","Rotunda Hospital",11,0,0,0,11
"2024-05-30","Child","Portiuncula University Hospital",418,34,19,0,471
"2024-05-30","Child","Our Lady's Hospital Navan",1,0,0,0,1
"2024-05-30","Child","Our Lady of Lourdes Hospital Drogheda",2213,1166,269,29,3677
"2024-05-30","Child","Nenagh Hospital",8,1,1,0,10
"2024-05-30","Child","National Orthopaedic Hospital Cappagh",140,46,42,25,253
"2024-05-30","Child","National Maternity Hospital (Holles Street)",56,15,0,0,71
"2024-05-30","Child","Naas General Hospital",5,0,0,0,5
"2024-05-30","Child","Midland Regional Hospital Tullamore",1134,251,37,0,1422
"2024-05-30","Child","Midland Regional Hospital Portlaoise",766,337,205,58,1365
"2024-05-30","Child","Midland Regional Hospital Mullingar",869,369,109,10,1357
"2024-05-30","Child","Mercy University Hospital",172,58,2,0,231
"2024-05-30","Child","Mayo University Hospital",583,84,24,24,716
"2024-05-30","Child","Mallow General Hospital",235,134,154,26,548
"2024-05-30","Child","Letterkenny University Hospital",1149,335,268,135,1887
"2024-05-30","Child","Galway University Hospitals",3142,1108,510,778,5538
"2024-05-30","Child","Ennis Hospital",29,11,3,0,43
